Function,Mean,Median,Standard Deviation,Range,Time
1,2483.77,2208.04,1293.32,815.169-2516.81,219.6ms
2,2.89347e+08,2.26183e+08,1.95143e+08,3.44145e+07-1.70324e+08,151.7ms
3,34928.7,23879.4,36045.9,2.45506-14.0631,154.74ms
4,14.7573,13.114,6.63324,5.66619-10.0493,151.68ms
5,0.000358426,0.000249878,0.0003909,5.00679e-06-0.000222094,144.1ms
6,10.1463,10.1463,1.90735e-06,10.1463-10.1463,191.4ms
7,1.59153,0.00691068,4.74178,0.000152111-0.00603485,185.8ms
8,159.609,163.457,20.7531,109.597-185.946,208.4ms
9,0.0963081,0.0508804,0.0965789,0.00126648-0.284424,171.26ms
10,0.0499782,0.0345039,0.051078,0.000473022-0.027771,178.1ms
11,8.14103e-06,6.93758e-07,1.7277e-05,2.34085e-08-1.92479e-07,156.34ms
12,1.21285e-08,6.22925e-11,7.09417e-08,1.16944e-15-6.08028e-11,200.86ms
13,5.40852e-31,3.39114e-43,0,0-0,171.36ms
14,7.00824e+07,3.86907e+07,1.10326e+08,5.12044e+06-6.22589e+07,148.46ms
15,7.38355,7.10013,3.10374,2.81293-8.24297,215.2ms
16,2659.71,2503.32,1204.76,1178.16-2484.42,129.16ms
17,32.1452,32.5318,6.38239,22.3023-34.8333,136.24ms
18,16.9477,18.9399,16.9679,13.2946-25.9275,6.46822ms
