Strategy,Mean,Median,Standard Deviation,Range(low),Range(high),Time(mius)
GA,290.396,275.207,71.1983,149.757,455.722,150.94
DE1,183.4,183,16.1009,144,222,359.68
DE2,387.72,388,25.1619,304,439,467.5
DE3,168.14,170,9.81837,142,188,366.12
DE4,366.72,368,30.9277,301,458,504.22
DE5,910.76,924.5,93.45,641,1052,660.12
DE6,140.5,132.5,57.3631,45,248,512.92
DE7,480.08,479,31.6239,412,528,711.54
DE8,195.52,195,16.0975,165,234,545.52
DE9,390.44,388.5,46.3462,302,554,770.3
DE10,1430.82,1426.5,152.914,1088,1823,1037.76
